City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
305,Pacasmayo,PE,75.34,overcast clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
307,Bambanglipuro,ID,75.99,overcast clouds,-7.95,110.2833,Puri Brata
310,Lompoc,US,72.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
311,Sur,OM,71.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
312,Moussoro,TD,73.26,clear sky,13.6408,16.4901,Hôtel Salama
315,Pangkalanbuun,ID,74.57,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
317,Alappuzha,IN,78.84,broken clouds,9.49,76.3264,Panoramic Sea Resort
319,Port Lincoln,AU,71.8,clear sky,-34.7333,135.8667,Port Lincoln Hotel
320,Guayaramerin,BO,83.8,overcast clouds,-10.8368,-65.3614,Hostal Funf
324,Kloulklubed,PW,79.3,moderate rain,7.0419,134.2556,Storyboard Beach Resort
325,Mlonggo,ID,78.91,overcast clouds,-6.5333,110.7,Asia Metal Art
326,Juba,SS,81.64,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
328,Matara,LK,76.71,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
333,Coruripe,BR,84.88,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
337,Champasak,LA,74.41,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
346,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,DoubleFAG
350,Rodrigues Alves,BR,82.74,overcast clouds,-7.738,-72.6509,Pousada Aconchego
353,Imbituba,BR,82.29,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
354,Tual,ID,82.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
356,Umkomaas,ZA,76.68,light rain,-30.2067,30.7978,The Norwegian Lodge
358,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
360,Katobu,ID,75.54,scattered clouds,-4.9408,122.5276,La Ode Husein
367,Sola,VU,81.95,overcast clouds,-13.8833,167.55,Leumerus Bungalows
370,Maragogi,BR,83.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
