City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
262,Huarmey,-10.0681,-78.1522,75.63,70,55,11.05,PE,broken clouds
263,Esil,51.9556,66.4042,10.99,82,37,13.27,KZ,scattered clouds
264,Huaidian,33.4333,115.0333,33.84,64,100,4.85,CN,snow
265,Asyut,27.181,31.1837,58.46,41,0,8.57,EG,clear sky
266,Sao Domingos,-13.3983,-46.3183,71.65,89,100,3.4,BR,overcast clouds
267,San Carlos De Bariloche,-41.1456,-71.3082,82.15,15,20,13.8,AR,few clouds
268,Zhigansk,66.7697,123.3711,-24.83,98,99,6.89,RU,overcast clouds
269,Sabha,27.0377,14.4283,61.47,18,53,9.24,LY,broken clouds
270,Dryden,49.7833,-92.7503,10.24,82,100,6.31,CA,overcast clouds
271,Bima,-8.4667,118.7167,76.91,94,81,3.09,ID,broken clouds
272,Udalguri,26.7667,92.1333,56.35,74,6,3.24,IN,clear sky
273,Bathsheba,13.2167,-59.5167,84.81,61,40,20.71,BB,scattered clouds
274,Fortuna,40.5982,-124.1573,55.74,81,0,6.91,US,clear sky
275,Klaksvik,62.2266,-6.589,36.52,60,80,35.99,FO,broken clouds
276,Nome,64.5011,-165.4064,-0.33,50,0,8.05,US,clear sky
277,Tocopilla,-22.092,-70.1979,73.2,64,6,7.58,CL,clear sky
278,Pacific Grove,36.6177,-121.9166,63.55,53,0,1.01,US,clear sky
279,San Cristobal,7.7669,-72.225,69.98,50,84,4.52,VE,broken clouds
280,Dongkan,33.9997,119.8308,33.73,53,100,5.21,CN,light snow
281,Portland,45.5234,-122.6762,50.94,84,100,8.01,US,fog
282,Gat,31.61,34.7642,54.91,83,24,4.43,IL,few clouds
283,Samana,19.2056,-69.3369,77.83,69,86,10.71,DO,overcast clouds
284,Plettenberg Bay,-34.0527,23.3716,74.93,66,81,3.31,ZA,broken clouds
285,The Valley,18.217,-63.0578,78.82,74,75,20.09,AI,broken clouds
286,Sekoma,-24.4,23.8833,75.94,45,92,6.2,BW,overcast clouds
287,Walvis Bay,-22.9575,14.5053,74.35,68,44,4.61,NA,light rain
288,Gerede,40.8008,32.1969,18.75,94,66,5.82,TR,broken clouds
289,Vikulovo,56.8167,70.6107,-2.78,95,100,4.74,RU,overcast clouds
290,Thompson,55.7435,-97.8558,-8.37,85,13,5.68,CA,few clouds
291,Marsa Matruh,31.3525,27.2453,59.43,59,0,9.1,EG,clear sky
292,Campbell River,50.0163,-125.2446,41.27,100,100,0.0,CA,mist
293,Yumen,40.2833,97.2,13.24,85,7,14.79,CN,clear sky
294,East London,-33.0153,27.9116,74.98,82,9,23.91,ZA,clear sky
295,Margate,51.3813,1.3862,50.31,71,63,8.01,GB,broken clouds
296,Talnakh,69.4865,88.3972,-25.67,98,64,2.24,RU,broken clouds
297,Vinh,18.6667,105.6667,60.62,85,86,2.08,VN,overcast clouds
298,Waipawa,-41.4122,175.5153,57.83,79,100,11.61,NZ,overcast clouds
299,Ribeira Grande,38.5167,-28.7,63.0,82,75,17.27,PT,broken clouds
300,Sorland,67.667,12.6934,35.46,61,100,17.0,NO,overcast clouds
301,Chernyshevskiy,63.0128,112.4714,-4.54,99,100,2.84,RU,overcast clouds
302,Teguise,29.0605,-13.564,64.62,73,2,23.02,ES,clear sky
303,Elena,42.9333,25.8833,41.67,80,0,5.3,BG,clear sky
304,Pangnirtung,66.1451,-65.7125,-32.39,96,95,2.55,CA,overcast clouds
305,Pacasmayo,-7.4006,-79.5714,75.34,68,95,12.88,PE,overcast clouds
306,Kodiak,57.79,-152.4072,36.91,70,0,5.75,US,clear sky
307,Bambanglipuro,-7.95,110.2833,75.99,89,100,4.12,ID,overcast clouds
308,Mandali,33.7499,45.5541,51.94,38,5,7.9,IQ,clear sky
309,Herat,34.5,62.0,41.81,71,3,1.83,AF,clear sky
310,Lompoc,34.6391,-120.4579,72.09,47,0,5.75,US,clear sky
311,Sur,22.5667,59.5289,71.49,72,1,8.32,OM,clear sky
312,Moussoro,13.6408,16.4901,73.26,9,2,11.48,TD,clear sky
313,Buin,-33.7333,-70.75,91.44,15,0,11.41,CL,clear sky
314,Geraldton,-28.7667,114.6,68.13,52,19,10.36,AU,few clouds
315,Pangkalanbuun,-2.6833,111.6167,74.57,98,100,3.22,ID,overcast clouds
316,Hays,30.0502,-98.0336,54.3,44,0,1.99,US,clear sky
317,Alappuzha,9.49,76.3264,78.84,75,82,5.53,IN,broken clouds
318,Leningradskiy,69.3833,178.4167,-22.81,98,33,6.08,RU,scattered clouds
319,Port Lincoln,-34.7333,135.8667,71.8,68,0,14.25,AU,clear sky
320,Guayaramerin,-10.8368,-65.3614,83.8,70,100,1.1,BO,overcast clouds
321,Zhongshu,24.5167,103.7667,43.92,94,35,7.61,CN,scattered clouds
322,Limoux,42.9167,2.1667,45.82,59,100,8.28,FR,overcast clouds
323,Ayan,56.45,138.1667,-6.16,77,71,9.69,RU,broken clouds
324,Kloulklubed,7.0419,134.2556,79.3,83,100,21.92,PW,moderate rain
325,Mlonggo,-6.5333,110.7,78.91,86,100,9.13,ID,overcast clouds
326,Juba,4.8517,31.5825,81.64,20,84,3.98,SS,broken clouds
327,Narsaq,60.9167,-46.05,7.02,64,100,1.79,GL,overcast clouds
328,Matara,5.9485,80.5353,76.71,77,98,2.93,LK,overcast clouds
329,Porto Walter,-8.2686,-72.7439,89.06,53,100,3.96,BR,overcast clouds
330,Palana,59.1167,159.9667,9.72,75,37,11.1,RU,scattered clouds
331,Udachnyy,66.4167,112.4,-17.55,82,99,3.29,RU,overcast clouds
332,Whitianga,-36.8333,175.7,66.02,98,100,14.34,NZ,light rain
333,Coruripe,-10.1256,-36.1756,84.88,63,10,15.95,BR,clear sky
334,Ballina,-28.8667,153.5667,62.78,97,93,15.84,AU,light rain
335,Paracuru,-3.41,-39.0306,87.82,60,41,11.41,BR,scattered clouds
336,Toktogul,41.8708,72.9402,28.42,91,100,1.19,KG,light snow
337,Champasak,14.75,106.0,74.41,67,85,1.9,LA,overcast clouds
338,Pogar,52.554,33.2591,30.16,96,100,10.25,RU,overcast clouds
339,Kasempa,-13.4584,25.8338,65.43,93,97,0.45,ZM,light rain
340,Sitka,57.0531,-135.33,44.49,81,100,14.97,US,light rain
341,Tazovskiy,67.4667,78.7,-22.7,100,97,3.71,RU,overcast clouds
342,Puerto Colombia,10.9878,-74.9547,89.69,68,0,21.36,CO,clear sky
343,Laibin,23.7,109.2667,50.52,91,100,5.41,CN,moderate rain
344,Aksu,41.1231,80.2644,21.97,48,78,1.52,CN,broken clouds
345,Manavgat,36.7867,31.4431,50.41,66,25,4.7,TR,scattered clouds
346,Labuhan,-6.8844,112.2051,77.94,90,100,7.16,ID,overcast clouds
347,Lerwick,60.1545,-1.1494,39.2,61,92,29.01,GB,overcast clouds
