City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Tasiilaq,65.6145,-37.6368,24.96,73,100,40.26,GL,2022-02-05 00:48:40
143,Bani,18.2833,-70.3333,72.84,76,2,14.88,DO,2022-02-05 00:48:40
144,Port Hardy,50.6996,-127.4199,44.78,87,100,9.22,CA,2022-02-05 00:48:40
145,Progreso,21.2833,-89.6667,77.11,86,63,10.94,MX,2022-02-05 00:46:40
146,Caravelas,-17.7125,-39.2481,77.2,85,100,7.23,BR,2022-02-05 00:48:41
147,Rivers,50.0308,-100.2403,-10.25,91,100,7.29,CA,2022-02-05 00:48:41
148,Baturaja,-4.1333,104.1667,72.54,99,100,2.06,ID,2022-02-05 00:48:42
149,Mildura,-34.2,142.15,83.07,34,100,13.8,AU,2022-02-05 00:48:42
150,Fuengirola,36.54,-4.6247,62.6,43,20,19.57,ES,2022-02-05 00:48:43
151,Ruteng,-8.6136,120.4721,70.9,78,97,2.39,ID,2022-02-05 00:48:43
152,Qaanaaq,77.484,-69.3632,0.68,70,100,6.96,GL,2022-02-05 00:48:44
153,Yatou,37.15,122.3833,27.9,44,68,15.88,CN,2022-02-05 00:48:44
154,Riyadh,24.6877,46.7219,68.14,39,2,16.98,SA,2022-02-05 00:45:47
155,Atuona,-9.8,-139.0333,78.39,77,30,15.57,PF,2022-02-05 00:42:29
156,Longyearbyen,78.2186,15.6401,17.44,62,40,27.63,SJ,2022-02-05 00:48:44
157,Roding,49.1964,12.5186,42.03,83,94,12.39,DE,2022-02-05 00:48:45
158,Turki,51.987,43.2731,14.23,96,83,8.5,RU,2022-02-05 00:48:45
159,Varkaus,62.3153,27.873,19.51,90,100,16.02,FI,2022-02-05 00:48:46
160,Thessalon,46.2501,-83.5666,7.56,92,99,4.38,CA,2022-02-05 00:48:46
161,Challapata,-18.9,-66.7667,51.26,72,100,5.82,BO,2022-02-05 00:48:46
162,Santiago,-33.4569,-70.6483,75.29,41,0,14.97,CL,2022-02-05 00:44:46
163,Airai,-8.9266,125.4092,70.25,70,100,1.63,TL,2022-02-05 00:48:47
164,Mabaruma,8.2,-59.7833,72.95,90,10,3.6,GY,2022-02-05 00:48:47
165,Bonfim,3.0833,-59.95,79.84,67,100,3.62,BR,2022-02-05 00:48:48
166,Chokurdakh,70.6333,147.9167,-30.78,100,16,1.72,RU,2022-02-05 00:48:48
167,Port Arthur,38.8,121.2667,25.02,41,41,18.07,CN,2022-02-05 00:48:48
168,Iqaluit,63.7506,-68.5145,-16.87,52,75,8.05,CA,2022-02-05 00:48:49
169,Ilulissat,69.2167,-51.1,12.22,62,40,16.11,GL,2022-02-05 00:48:49
170,Bouillon,49.7932,5.067,36.16,97,100,5.86,BE,2022-02-05 00:48:50
171,Yermakovskoye,53.2831,92.4003,-3.98,97,100,2.53,RU,2022-02-05 00:48:50
172,Saint-Augustin,51.226,-58.6502,-7.73,84,100,9.78,CA,2022-02-05 00:48:50
173,Kidal,18.4411,1.4078,58.98,17,0,10.67,ML,2022-02-05 00:48:51
174,Kodiak,57.79,-152.4072,38.71,81,75,4.61,US,2022-02-05 00:48:51
175,Faya,18.3851,42.4509,55.51,89,17,6.13,SA,2022-02-05 00:48:52
176,Santa Maria,-29.6842,-53.8069,78.1,89,40,4.61,BR,2022-02-05 00:44:48
177,Alta Floresta,-9.8756,-56.0861,73.76,92,49,2.48,BR,2022-02-05 00:48:52
178,Kavieng,-2.5744,150.7967,83.61,69,100,4.99,PG,2022-02-05 00:48:52
179,Sampit,-2.5333,112.95,78.51,89,100,1.52,ID,2022-02-05 00:48:53
180,Jaguarari,-10.2639,-40.1958,72.01,71,98,5.82,BR,2022-02-05 00:48:53
181,Saint-Pierre,-21.3393,55.4781,80.24,83,100,5.75,RE,2022-02-05 00:48:54
182,Matara,5.9485,80.5353,72.01,90,44,5.14,LK,2022-02-05 00:49:54
