City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
283,Kaeo,-35.1,173.7833,78.33,94,89,7.74,NZ
284,Abnub,27.2696,31.1511,50.58,56,0,5.95,EG
285,Greenville,35.6127,-77.3663,40.95,45,0,8.05,US
286,Nome,64.5011,-165.4064,-0.33,60,0,3.44,US
287,Kimberley,-28.7323,24.7623,72.36,56,92,15.61,ZA
288,Pontianak,-0.0333,109.3333,75.18,94,75,0.0,ID
289,Faanui,-16.4833,-151.75,81.59,72,12,20.4,PF
290,Mount Isa,-20.7333,139.5,83.97,34,0,8.05,AU
291,Calama,-22.4667,-68.9333,70.29,10,0,26.46,CL
292,Hay River,60.8156,-115.7999,-2.13,96,92,3.04,CA
293,Boa Vista,2.8197,-60.6733,84.18,61,40,5.75,BR
294,Provideniya,64.3833,-173.3,-3.26,85,2,10.0,RU
295,Saint-Augustin,51.226,-58.6502,2.98,93,100,17.63,CA
296,Gore,-46.1028,168.9436,54.23,70,99,3.87,NZ
297,Benicarlo,40.4165,0.4271,50.56,51,81,8.68,ES
298,Baruun-Urt,46.6806,113.2792,-3.15,90,8,5.77,MN
299,Ivanovka,42.8878,75.085,23.43,31,53,6.96,KG
300,Zunyi,27.6867,106.9072,36.34,86,100,6.73,CN
301,Kupang,-10.1667,123.5833,79.54,85,63,9.84,ID
302,Crixas,-14.5489,-49.9692,75.47,85,93,1.97,BR
303,Mangan,27.5167,88.5333,40.1,76,0,9.57,IN
304,San Clemente,33.427,-117.612,77.54,27,4,8.01,US
305,Villa Guerrero,18.8667,-99.65,74.82,39,40,4.99,MX
306,Baiyin,36.5583,104.2081,13.82,93,100,3.33,CN
307,Vertou,47.1687,-1.4693,46.74,100,0,8.05,FR
308,Aklavik,68.2191,-135.0107,-35.68,89,14,0.51,CA
309,Nemuro,43.3236,145.575,23.11,72,84,18.12,JP
310,Muros,42.7762,-9.0603,50.23,75,1,10.89,ES
311,Poronaysk,49.2167,143.1167,12.0,83,100,10.22,RU
312,Pacora,9.0833,-79.2833,84.96,54,20,17.27,PA
313,Sokoni,-6.4333,39.55,80.08,76,100,6.26,TZ
314,Severo-Yeniseyskiy,60.3725,93.0408,9.97,93,100,8.52,RU
315,Taunggyi,20.7833,97.0333,49.24,94,7,5.32,MM
316,Carutapera,-1.195,-46.02,75.6,93,100,6.42,BR
317,Portland,45.5234,-122.6762,53.78,74,40,1.01,US
318,San Juan Ixcoy,15.5997,-91.4453,61.65,95,98,3.51,GT
319,Brae,60.3964,-1.353,37.31,58,100,37.56,GB
320,Udachnyy,66.4167,112.4,-32.57,100,91,2.46,RU
321,Vestmannaeyjar,63.4427,-20.2734,28.83,72,91,12.95,IS
322,Airai,-8.9266,125.4092,64.63,84,92,1.19,TL
323,Carupano,10.6678,-63.2585,76.41,84,8,11.27,VE
324,Bethel,41.3712,-73.414,24.04,71,75,1.99,US
325,Hualmay,-11.0964,-77.6139,72.39,77,24,11.3,PE
326,Cuiluan,47.72,128.648,-8.88,99,97,3.71,CN
327,Canazas,8.3167,-81.2167,79.83,54,16,9.28,PA
328,Malakal,9.5334,31.6605,71.47,16,24,8.93,SS
329,Manzhouli,49.6,117.4333,-6.39,95,93,7.09,CN
330,Leshukonskoye,64.8989,45.7622,4.01,93,98,8.16,RU
331,Alofi,-19.0595,-169.9187,79.92,80,98,15.68,NU
332,Wahiawa,21.5028,-158.0236,79.12,64,40,6.91,US
333,Laguna,38.421,-121.4238,68.65,43,0,1.99,US
334,Kangaatsiaq,68.3065,-53.4641,-9.33,95,79,7.27,GL
335,Sao Borja,-28.6606,-56.0044,81.95,33,50,9.4,BR
336,Brazzaville,-4.2658,15.2832,74.62,87,19,2.08,CG
337,Mkushi,-13.6202,29.3939,60.73,97,75,2.44,ZM
338,Ossora,59.2353,163.0719,13.55,81,100,11.41,RU
339,Cherskiy,68.75,161.3,-32.44,97,19,1.23,RU
340,Nantucket,41.2835,-70.0995,26.96,55,0,16.11,US
341,Chudey,48.0525,25.6221,35.85,85,51,6.08,UA
342,Strezhevoy,60.7333,77.5889,15.78,96,100,6.17,RU
343,San Patricio,28.017,-97.5169,54.54,29,0,4.68,US
344,Port Hardy,50.6996,-127.4199,45.09,84,100,7.92,CA
345,The Valley,18.217,-63.0578,76.1,94,75,9.22,AI
346,Batemans Bay,-35.7167,150.1833,68.92,76,99,9.93,AU
347,Ahipara,-35.1667,173.1667,75.04,86,99,5.91,NZ
348,Lagoa,39.05,-27.9833,58.91,75,15,17.13,PT
349,Vardo,70.3705,31.1107,26.78,79,94,28.41,NO
350,Narsaq,60.9167,-46.05,1.62,71,50,5.82,GL
351,Jambi,-1.6,103.6167,72.97,98,100,2.95,ID
352,Kaura Namoda,12.5898,6.5779,67.37,15,1,11.63,NG
353,Maua,-23.6678,-46.4614,76.8,82,84,6.73,BR
354,Santa Isabel Do Rio Negro,-0.4139,-65.0192,75.34,96,100,1.74,BR
355,Richards Bay,-28.783,32.0377,71.31,88,98,7.23,ZA
356,Khorramabad,33.4878,48.3558,38.5,83,92,1.54,IR
357,Tamiahua,21.2667,-97.45,56.7,53,29,9.46,MX
358,Hofn,64.2539,-15.2082,28.2,64,71,13.51,IS
359,Williams Lake,52.1415,-122.1445,36.03,98,100,2.33,CA
360,Tevriz,57.509,72.4042,11.57,90,100,4.76,RU
361,Zhigansk,66.7697,123.3711,-26.84,99,100,5.73,RU
362,Honiara,-9.4333,159.95,85.12,74,87,5.55,SB
363,Mitsamiouli,-11.3847,43.2844,81.72,75,99,10.04,KM
364,Redmond,47.674,-122.1215,50.9,84,79,4.0,US
365,Aykhal,66.0,111.5,-12.19,100,94,3.94,RU
366,Ust-Nera,64.5667,143.2,-24.47,68,7,1.57,RU
367,Acari,-15.4311,-74.6158,75.61,67,1,7.61,PE
368,Camacha,33.0833,-16.3333,63.54,82,40,21.85,PT
369,Hastings,50.8552,0.5729,51.39,82,100,33.42,GB
370,Baikunthpur,23.25,82.55,46.74,58,6,3.09,IN
371,Nyurba,63.2842,118.3319,-24.05,100,80,2.33,RU
372,Costa Rica,-23.4167,-54.65,69.46,98,100,3.44,BR
373,Pacific Grove,36.6177,-121.9166,69.62,55,0,3.0,US
374,Pervomayskoye,43.919,46.7102,31.6,66,75,12.5,RU
375,Sibolga,1.7427,98.7792,75.07,90,100,1.86,ID
376,Huilong,31.8111,121.655,38.03,60,44,5.48,CN
377,Salvador,13.8333,-88.9167,79.2,39,52,9.19,SV
378,Albanel,48.8832,-72.4487,-1.95,81,31,7.56,CA
379,Sao Paulo De Olivenca,-3.3783,-68.8725,73.89,92,89,2.57,BR
380,Hamilton,39.1834,-84.5333,22.98,78,75,1.01,US
381,Bani Walid,31.7566,13.9942,57.4,31,90,2.73,LY
382,Dodola,6.9833,39.1833,53.47,40,71,2.17,ET
383,Vagur,61.4732,-6.8119,36.86,63,100,41.41,FO
384,Bathsheba,13.2167,-59.5167,79.41,69,40,12.66,BB
385,Raudeberg,61.9875,5.1352,37.2,91,100,10.0,NO
386,Huarmey,-10.0681,-78.1522,73.76,76,12,10.69,PE
387,Shubarshi,48.5872,57.1869,23.76,98,100,1.7,KZ
388,Bluefield,37.2698,-81.2223,27.07,68,0,1.01,US
389,Papetoai,-17.4961,-149.8729,85.59,72,2,18.57,PF
